filename,ZANumber,nodesNumber,atom_mul,atom_connection
JSR-PPT 1,2,2,{ZA2:4;ZA1:8},{ZA1:23;ZA2:8}
JST-PPT 1,2,2,{ZA1:8;ZA2:4},{ZA1:8;ZA2:14}
JSW-NT,4,4,{ZA1:8;ZA3:8;ZA4:4;ZA2:4},{ZA2:4;ZA4:16;ZA3:3;ZA1:3}
JSY-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:2;ZA1:4},{ZA2:20;ZA4:11;ZA3:23;ZA1:8}
JZO-NT,19,19,{ZA17:8;ZA9:8;ZA15:16;ZA19:16;ZA1:32;ZA3:16;ZA11:16;ZA18:16;ZA4:32;ZA14:4;ZA6:32;ZA7:16;ZA8:16;ZA10:16;ZA12:4;ZA16:32;ZA2:32;ZA5:16;ZA13:16},{ZA6:4;ZA13:5;ZA5:7;ZA16:5;ZA2:7;ZA8:9;ZA7:7;ZA12:14;ZA10:4;ZA11:6;ZA1:5;ZA3:8;ZA17:4;ZA15:4;ZA9:6;ZA19:3;ZA14:6;ZA18:4;ZA4:6}
JZT-NT,8,8,{ZA3:4;ZA1:8;ZA6:4;ZA2:4;ZA4:8;ZA7:8;ZA8:4;ZA5:4},{ZA7:5;ZA8:4;ZA2:8;ZA4:6;ZA5:4;ZA3:6;ZA6:4;ZA1:7}
KFI-PPT 1,3,3,{ZA1:8;ZA3:2;ZA2:6},{ZA2:18;ZA1:8;ZA3:26}
LAU-PPT 1,5,5,{ZA2:2;ZA4:2;ZA5:4;ZA3:2;ZA1:2},{ZA5:3;ZA3:4;ZA1:6;ZA2:16;ZA4:4}
LEV-PPT 1,2,2,{ZA2:6;ZA1:3},{ZA2:17;ZA1:8}
LIO-PPT 1,5,5,{ZA4:1;ZA2:1;ZA1:2;ZA5:1;ZA3:1},{ZA4:11;ZA2:17;ZA1:11;ZA3:11;ZA5:23}
LIT-PPT 1,3,3,{ZA2:4;ZA3:4;ZA1:4},{ZA1:6;ZA3:3;ZA2:7}
LOS-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA2:17;ZA1:11}
LOV-PPT 1,5,5,{ZA3:2;ZA5:2;ZA1:4;ZA2:2;ZA4:2},{ZA4:4;ZA2:4;ZA1:6;ZA5:4;ZA3:6}
LTA-PPT 1,3,3,{ZA2:1;ZA3:1;ZA1:3},{ZA2:14;ZA3:26;ZA1:6}
LTF-PPT 1,6,6,{ZA1:6;ZA6:2;ZA3:2;ZA5:12;ZA4:2;ZA2:6},{ZA3:8;ZA5:5;ZA6:5;ZA1:12;ZA2:14;ZA4:17}
LTJ-PPT 1,4,4,{ZA2:8;ZA4:4;ZA3:8;ZA1:8},{ZA1:3;ZA3:3;ZA4:4;ZA2:3}
LTL-PPT 1,5,5,{ZA2:2;ZA4:2;ZA3:1;ZA5:3;ZA1:3},{ZA2:8;ZA4:11;ZA5:4;ZA3:26;ZA1:6}
LTN-PPT 1,5,5,{ZA3:32;ZA5:16;ZA1:8;ZA2:8;ZA4:16},{ZA3:8;ZA5:2;ZA1:14;ZA2:42;ZA4:14}
MAR-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:4;ZA1:4},{ZA2:23;ZA4:11;ZA3:11;ZA1:14}
MAZ-PPT 1,3,3,{ZA2:2;ZA3:6;ZA1:2},{ZA2:17;ZA1:14;ZA3:5}
MEI-PPT 1,2,2,{ZA1:4;ZA2:2},{ZA2:26;ZA1:7}
MEL-PPT 1,9,9,{ZA2:8;ZA4:8;ZA7:8;ZA8:4;ZA5:8;ZA9:2;ZA3:2;ZA6:8;ZA1:8},{ZA5:8;ZA4:7;ZA2:5;ZA8:4;ZA7:3;ZA1:5;ZA6:4;ZA3:10;ZA9:6}
MEP-PPT 1,2,2,{ZA2:2;ZA1:6},{ZA2:12;ZA1:14}
MER-PPT 1,3,3,{ZA2:4;ZA3:2;ZA1:2},{ZA2:6;ZA3:10;ZA1:18}
MFI-PPT 1,11,11,{ZA9:4;ZA1:4;ZA6:8;ZA3:8;ZA11:4;ZA7:4;ZA8:4;ZA10:4;ZA4:8;ZA2:4;ZA5:8},{ZA11:3;ZA6:6;ZA1:5;ZA3:4;ZA9:3;ZA5:4;ZA4:8;ZA2:5;ZA8:5;ZA10:6;ZA7:7}
MFS-PPT 1,6,6,{ZA5:2;ZA3:4;ZA1:4;ZA6:2;ZA2:2;ZA4:2},{ZA3:4;ZA5:17;ZA1:5;ZA6:3;ZA2:6;ZA4:6}
